Car_ID,Brand,Model,Year,Kilometers_Driven,Fuel_Type,Transmission,Engine_CC,Owner_Type,Accident_History,Insurance_Status,Service_History,City,Color,Condition,Seller_Type,Original_Price_Lakh,Resale_Price_Lakh
CAR10066,Renault,Duster,2019,27635,CNG,AMT,1497,Fourth,1,Comprehensive,Complete,Aurangabad,Black,Good,Individual,7.62,3.33
CAR10067,Tata,Safari,2023,43392,Diesel,Manual,1995,Third,1,Comprehensive,Complete,Bengaluru,Blue,Good,Dealer,10.52,5.58
CAR10068,Maruti,Dzire,2018,NA,CNG,DCT,2755,First,0,Comprehensive,Partial,Delhi,Brown,Fair,Dealer,10.96,3.18
CAR10069,Honda,Amaze,2024,63749,Diesel,Manual,1597,First,2,Comprehensive,Partial,Delhi,Black,Good,Individual,11.93,8.83
CAR10070,Hyundai,Venue,2019,NA,Petrol,Manual,2179,Second,0,Comprehensive,Complete,Mumbai,Silver,Good,Individual,11.23,4.89
CAR10071,Renault,Kiger,2024,34877,Petrol,NA,1199,First,0,Third Party,Complete,Bengaluru,Black,Poor,Individual,8.98,5.44
CAR10072,Honda,Amaze,2019,80193,Petrol,AMT,2393,First,0,Expired,Complete,Mumbai,White,Poor,Individual,11.25,3.27
CAR10073,Hyundai,Santro,2017,38697,CNG,DCT,1197,Second,1,Comprehensive,NA,Bengaluru,Grey,Fair,Individual,5.73,1.18
CAR10074,Mahindra,Scorpio,2021,50470,CNG,Manual,2179,First,1,Third Party,Complete,Chennai,Brown,Fair,Individual,11.28,6.03
CAR10075,Mahindra,XUV500,2013,80242,Diesel,AMT,1995,First,1,Comprehensive,NA,Nashik,Grey,Fair,Dealer,NA,2.18
CAR10076,Volkswagen,Taigun,2017,38641,Petrol,Automatic,NA,First,0,Expired,NA,Pune,Black,Good,Dealer,10.67,4.09
CAR10077,Honda,Amaze,2025,40212,diesel,Automatic,799,Third,0,Comprehensive,Complete,Nashik,Blue,Good,Individual,NA,10.09
CAR10078,Mahindra,thar,2012,76153,Petrol,Automatic,998,Second,0,Comprehensive,Complete,Delhi,Grey,Excellent,Individual,11.05,2.55
CAR10079,Hyundai,NA,2012,NA,Petrol,Manual,2179,Second,0,Third Party,Complete,Nagpur,Red,Good,Individual,5.82,1.46
CAR10080,Volkswagen,NA,2022,44509,Petrol,Manual,1497,First,1,Third Party,Partial,Ahmedabad,Red,Good,Dealer,NA,6.58
CAR10081,Nissan,Magnite,2014,74663,Petrol,AMT,799,Second,0,Comprehensive,NA,Bengaluru,White,Good,Dealer,6.89,1.88
CAR10082,Hyundai,Verna,2014,170218,CNG,Manual,2179,First,1,Third Party,NA,Ahmedabad,Black,Fair,Individual,11.19,1.85
CAR10083,Volkswagen, Vento ,2022,76730,Diesel,CVT,799,Second,1,Comprehensive,Partial,Pune,Grey,Good,Individual,11.15,7.03
CAR10084,Honda,Jazz,2024,71327,NA,CVT,1995,Second,1, Third Party ,Missing,Pune,Grey,Good,Individual,11.02,7.98
CAR10085,Renault,Triber,2016,73646,Petrol,CVT,1497,Third,3,Third Party,Partial,Mumbai,White,Fair,Individual,8.89,2.12
CAR10086,Kia,Carens,2012,30480,Petrol,Manual,2755,First,0,Comprehensive,Complete,Ahmedabad,Red,Good,Individual,13.23,3.25
CAR10087,Nissan,NA,2021,58610,Petrol,NA,1498,First,0,Third Party,Partial,Jaipur,Brown,Excellent,Individual,8.3,5.42
CAR10088,Ford,EcoSport,2017,54106,Petrol,Manual,799,Third,2,Comprehensive,Complete,Pune,Brown,Good,Individual,9.48,2.6
CAR10089,Renault,Triber,2018,65641,NA,DCT,998,Third,0,Comprehensive,Partial,Delhi,Black,Good,Dealer,7.07,2.3
CAR10090,Toyota,Innova,2021,58639,Petrol,Manual,1597,First,0, Comprehensive ,Partial,Kolkata,Red,Good,Individual,13.25,7.17
CAR10091,Hyundai,Venue,2023,67773,CNG,Manual,998,First,1,Expired,Partial,Aurangabad,NA,Good,Dealer,10.94,6.47
CAR10092,Toyota,Urban Cruiser,2024,46340,Petrol,NA,1497,First,0,Comprehensive,Partial,Nashik,Black,Fair,Dealer,NA,9.42
CAR10093,Renault,Kiger,2022,56801,Petrol,NA,2755,First,1,COMPREHENSIVE,Complete,Delhi,White,Good,Individual,10.77,6.18
CAR10094,Volkswagen,Polo,2014,27995,Petrol,Manual,2179,Second,0,Third Party,Complete,Jaipur,White,Good,Individual,11.76,3.94
CAR10095,Ford,Figo,2015,46126,Diesel,Manual,1497,Second,NA,Third Party,Complete,Jaipur,Brown,Excellent,Individual,4.79,1.31
CAR10096,Nissan,Sunny,2021,118189,Diesel,Manual,1197,First,0,Third Party,Complete,Chennai,Grey,Excellent,Individual,9.16,5.5
CAR10097,Nissan,Sunny,2022,65541,Petrol,DCT,2755,Second,1,Expired,Partial,Hyderabad,Red,Good,Individual,10.44,5.9
CAR10098,Nissan,Kicks,2021,54370,Electric,Automatic,1498,First,0,Comprehensive,Complete,Kolkata,NA,Good,Dealer,8.81,5.66
CAR10099,Ford,Figo,2025,156053,Petrol,Automatic,1597,First,1,Expired,Partial,Ahmedabad,Blue,Good,Individual,5.93,4.37
CAR10100,Maruti,Ciaz,2023,26020,Electric,Manual,2393,First,NA,Third Party,Partial,Kolkata,NA,Good,Individual,10.5,8.36
CAR10101,Ford,Aspire,2021,29878,Petrol,AMT,2755,NA,1,THIRD PARTY,Complete,Pune,Blue,Excellent,Individual,11.04,6.53
CAR10102,Kia,Sonet,2025,141079,CNG,CVT,2393, Second ,0,Comprehensive,Partial,Mumbai,Black,Good,Individual,11.67,7.84
CAR10103,Ford,NA,2021,56408,Diesel,DCT,2755,First,0,Comprehensive,Partial,Chennai,Black,Fair,INDIVIDUAL,10.8,5.46
CAR10104,Renault,Triber,2021,48130,Diesel,Manual,1995,Second,0,Comprehensive,Complete,Nagpur,NA,Good,Individual,9.39,4.93
CAR10105,Maruti,Dzire,2014,28439,Petrol,CVT,1197,Second,1,Third Party,Partial,Chennai,Red,good,Individual,9.94,2.16
CAR10106,Nissan,Magnite,2012,70355,Petrol,Manual,2755,Fourth,0,Comprehensive,Partial,Delhi,NA,Good,Individual,9.56,1.38
CAR10107,Renault,Triber,2019,74201,CNG,Manual,1199,Third,1,NA,Complete,Bengaluru,Brown,Good,Individual,NA,3.62
CAR10108,Renault,Kiger,2024,30125,CNG,Manual,2393,Second,0,Third Party,Partial,Nagpur,Red,Good,Individual,9.87,7.48
CAR10109,Skoda,Kushaq,2021,50916,Diesel,Automatic,1199,First,NA,Third Party,Partial,Nagpur,Brown,Excellent,Individual,9.71,6.85
CAR10110,Tata,Tiago,2021,45732,Petrol,Automatic,998,First,NA,Comprehensive,Complete,Kolkata,Blue,Good,Individual,NA,6.93
CAR10111,Maruti,WagonR,2013,63314,Petrol,Manual,1597,Second,1,Comprehensive,PARTIAL,Mumbai,Brown,Good,Dealer,4.51,1.0
CAR10112,Renault,Duster,2012,29717,Diesel,AMT,1199,First,1,Third Party,Complete,Aurangabad,NA,Good,Individual,9.46,2.79
CAR10113,Tata,NA,2025,109497,Petrol,Manual,1199,First,0,Comprehensive,Complete,Ahmedabad,Grey,Good,Dealer,10.93,8.59
CAR10114,Tata,Punch,2019,91k,Petrol,Manual,1995,First,0,Expired,NA,Aurangabad,Grey,Excellent,Dealer,10.47,4.93
CAR10115,Maruti,Baleno,2018,45041,Diesel,Manual,1498,First,NA,Third Party,Partial,Ahmedabad,White,Good,Individual,8.68,4.11
CAR10116,Skoda,Kushaq,2018,48827,Diesel,Automatic,1498,Second,0,Third Party,Complete,Mumbai,Black,Good,Dealer,10.79,4.62
CAR10117,Toyota,Urban Cruiser,2015,51k,Petrol,Manual,2755,Second,NA,Comprehensive,Complete,Delhi,Brown,Good,Individual,14.57,3.48
CAR10118,Volkswagen,Polo,2022,35847,NA,Manual,2179,Second,0,Comprehensive,Complete,Kolkata,Grey,Good,Individual,11.96,7.85
CAR10119,Kia,Seltos,2020,43096,NA,DCT,1199,First,0,Third Party,Complete,Hyderabad,Silver,Good, Individual ,9.81,4.94
CAR10120,Volkswagen,Polo,2017,47402,Petrol,CVT,2179,First,0,Comprehensive,Partial,Pune,Red,Good,Individual,11.61,4.57
CAR10121,Ford,Figo,2013,133541,CNG,Manual,799,First,0,Third Party,Complete,Hyderabad,Black,Good,Individual,5.26,1.0
CAR10122,Nissan,Sunny,2025,92570,Petrol,Automatic,2755,NA,2,Comprehensive,Complete,Ahmedabad,Blue,Fair,Individual,8.45,4.94
CAR10123,Kia,Seltos,2012,91963,Petrol,Manual,2179,First,NA,Third Party,Partial,Mumbai,White,Good,Individual,12.01,1.67
CAR10124,Ford,Aspire,2012,67409,Diesel,Automatic,799,First,0,Comprehensive,Complete,Jaipur,Black,NA,Dealer,9.4,1.96
CAR10125,Renault,Kwid,2020,29749,Diesel,Manual,1597,First,1,Comprehensive,Complete,Ahmedabad,Black,Good,Individual,4.87,2.54
CAR10126,Nissan,Kicks,2015,53759,Petrol,Manual,1498,First,1,Third Party,Missing,Mumbai,White,Fair,Dealer,8.79,2.19
CAR10127,Hyundai,Verna,2016,93794,Petrol,Manual,1597,First,1,Third Party,Partial,Jaipur,Grey,Good,Individual,10.07,2.2
CAR10128,Maruti,NA,2014,27530,NA,Manual,2179,Second,0,Third Party,NA,Kolkata,Silver,Excellent,Individual,10.26,3.44
CAR10129,Kia,Sonet,2015,78056,Diesel,Automatic,2393,First,0,Comprehensive,Partial,Kolkata,Blue,Good,Dealer,12.54,4.25
CAR10130,Kia,Carens,2023,197308,Petrol,CVT,1199,First,1,Comprehensive,Complete,Ahmedabad,Grey,Good,Individual,11.26,6.18
CAR10131,RENAULT,NA,2019,98625,Diesel,DCT,2179,Second,0,Third Party,NA,Jaipur,Blue,NA,Individual,8.3,3.4
CAR10132,Toyota,Innova,2024,119707,Diesel,DCT,1197,First,0,Comprehensive,Complete,Aurangabad,Red,Good,Individual,12.83,9.38
CAR10133,Tata,Safari,2015,62017,Diesel,DCT,2393,First,0,Third Party,Complete,Hyderabad,Blue,Good,Dealer,12.22,3.61
CAR10134, Nissan ,Sunny,2020,93662,CNG,Manual,2755,First,2,Expired,NA,Chennai,Silver,Good,Dealer,7.98,2.82
CAR10135,Renault,Kwid,2020,37059,Diesel,Automatic,2755,Third,0,Third Party,Partial,Delhi,Silver,Good,Dealer,6.79,3.44
CAR10136,Mahindra,Thar,2017,85204,Petrol,Manual,2179,First,0,Comprehensive,Complete,Hyderabad,NA,Good,Individual,10.67,3.0
CAR10137,Skoda,Slavia,2013,78826,Petrol,CVT,799,First,0,Third Party,Complete,Aurangabad,Grey,Good,Individual,NA,2.14
CAR10138,Tata,Safari,2023,64507,Petrol,AMT,1497,First,0,NA,Partial,Ahmedabad,NA,Good,Dealer,10.64,6.7
CAR10139,Maruti,Dzire,2021,113424,CNG,Manual,2393,Second,2,Comprehensive,Complete,Bengaluru,Red,Good,Individual,10.24,4.58
CAR10140,Tata,Nexon,2022,40894,Diesel,Manual,1497,Second,1,Comprehensive,Complete,Delhi,Blue,Fair,Individual,10.87,6.44
CAR10141,Toyota,Glanza,2018,49622,Petrol,Manual,799,Second,NA,comprehensive,MISSING,Chennai,Black,NA,Dealer,13.27,4.31
CAR10142,Tata,NA,2020,57964,CNG,Manual,799,Second,1,Third Party,Partial,Jaipur,White,Good,Individual,10.06,5.16
CAR10143,Maruti,Baleno,2017,31219, Diesel ,DCT,1197,First,0,Comprehensive,NA,Nagpur,Grey,NA,Dealer,10.99,4.44
CAR10144,Toyota,Urban Cruiser,2014,NA,Petrol,CVT,NA,Third,1,Comprehensive,Complete,Delhi,Blue,Fair,Dealer,14.09,2.88
CAR10145,Volkswagen,Polo,2025,21368,Petrol,Manual,1597,First,1,Comprehensive,NA,Mumbai,White,Good,Individual,11.63,9.83
CAR10146,Kia,Carens,2018,97822,Petrol,Manual,1498,First,NA,Third Party,Complete,Chennai,grey,Fair,Individual,11.81,3.9
CAR10147,Kia,Carens,2016,56429,Diesel,Manual,2179,Second,0,Comprehensive,Complete,Bengaluru,NA,Fair,Individual,11.91,3.39
CAR10148,Skoda,Slavia,2012,41299,Petrol,NA,1199,Second,2,Comprehensive,Complete,Nagpur,Brown,Good,Individual,10.39,2.55
CAR10149,Ford,Figo,2014,34758,Petrol,CVT,1199,First,1,Comprehensive,Partial,Pune,Silver,NA,Dealer,5.11,1.73
CAR10150,Volkswagen,Taigun,2016,48342,Electric,Automatic,1197,Third,0,Comprehensive,Complete,Jaipur,NA,Excellent,Dealer,11.32,4.32
CAR10151,Volkswagen,Polo,2018,80308,Diesel,Automatic,1497,Second,0,Comprehensive,Partial,Aurangabad,Red,Fair,Individual,11.8,4.25
CAR10152,Nissan,Sunny,2014,74335,Diesel,AMT,1497,First,0,Expired,Complete,Nagpur,Silver,Good,Dealer,9.32,2.05
CAR10153,Tata,Altroz,2017,37310,Diesel,Manual,2393,NA,0,Third Party,Complete,Pune,Grey,Fair,Dealer,10.17,3.03
CAR10154,Kia,NA,2016,34536,Petrol,DCT,1597,First,1,Comprehensive,Complete,Jaipur,Blue,Good,Individual,11.45,4.22
CAR10155,Maruti,NA,2024,78935,Electric,Automatic,1597,Third,0,Third Party,Complete,Pune,Red,Excellent,Individual,8.8,7.86
CAR10156,Honda,Amaze,2012,36967,Electric,Manual,1498,Second,0,Comprehensive,Missing,Kolkata,Black,Good,Individual,10.45,2.19
CAR10157,Honda,Amaze,2021,56842,Diesel,Manual,1199,Second,NA,Third Party,Complete,Pune,Brown,Good,Individual,9.97,5.8
CAR10158,Toyota,Glanza,2017,58873,NA,Automatic,1597,Second,0,Comprehensive,Complete,Jaipur,Red,Good,Dealer,14.75,5.91
CAR10159,Kia,Seltos,2025,65298,Petrol,Manual,998,Second,0,Comprehensive,Complete,Aurangabad,Red,Excellent,Dealer,10.92,8.71
CAR10160,Kia,Carens,2019,88180,Petrol,Automatic,2179,Second,0,Third Party,Complete,Nagpur,Blue,Good,Individual,12.55,5.12
CAR10161,Skoda,Kushaq,2024,27459,Diesel,CVT,1597,First,1,Third Party,Missing,Bengaluru,Grey,Good,Individual,11.8,9.31
CAR10162,Honda,City,2024,19224,Petrol,AMT,998,Second,1,Comprehensive,Missing,Ahmedabad,White,Good,Individual,9.57,7.11
CAR10163,Kia,Carens,2012,40255,Diesel,Automatic,2393,Second,0,Comprehensive,Complete,Nagpur,Red,Excellent,Dealer,12.35,3.26
CAR10164,Skoda,Slavia,2013,148142,Diesel,Automatic,998,Third,1,Expired,Partial,Jaipur,Grey,NA,Dealer,9.06,1.35
CAR10165,Tata,Harrier,2025,167256,Petrol,Manual,1498,Second,1,Comprehensive,Complete,Jaipur,Blue,Good,Individual,11.72,7.74
CAR10166,Mahindra,XUV500,2015,150577,Diesel,Manual,2755,First,0,Comprehensive,NA,Aurangabad,Red,Fair,Dealer,11.41,2.04
CAR10167,Nissan,Magnite,2023,49461,Petrol,Manual,1597,First,0,Third Party,Partial,Hyderabad,Grey,Good,Individual,9.25,6.83
CAR10168,Hyundai,Venue,2013,NA,CNG,DCT,2179,First,0,Comprehensive,Complete,Hyderabad,Silver,NA,Individual,10.85,2.7
CAR10169,Volkswagen,Vento,2022,NA,Petrol,CVT,1199,Second,0,Comprehensive,Complete,Nashik,Brown,Fair,Individual,10.95,5.88
CAR10170,Ford,Figo,2020,39236,Petrol,Manual,1995,First,1,Third Party,Complete,Delhi,Blue,Good,Individual,5.26,2.23
CAR10171,Toyota,Innova,2021,49323,Petrol,AMT,2393,Second,0,Comprehensive,Complete,Mumbai,Brown,Fair,Dealer,14.74,6.96
CAR10172,Mahindra,XUV700,2019,112468,Electric,Automatic,998,Second,1,Third Party,Complete,Pune,Grey,Good,Dealer,11.11,4.18
CAR10173,Nissan,Sunny,2019,88643,Diesel,DCT,1498,First,0,Third Party,Partial,Mumbai,Silver,GOOD,Individual,8.87,3.76
CAR10174,Nissan,Magnite,2015,62327,Petrol,Manual,1199,Second,3,Comprehensive,Complete,Nashik,Silver,Fair,Dealer,8.37,1.09
CAR10175,Nissan,Magnite,2016,33714,Petrol,Automatic,1995,First,0,Comprehensive,Complete,Bengaluru,White,Fair,Individual,9.72,2.83
CAR10176,Nissan,Sunny,2015,NA,Diesel,Automatic,2179,First,0,Expired,Complete,Pune,Brown,Good,Individual,10.46,3.95
CAR10177,Honda,WR-V,2024,NA,Petrol,Manual,998,First,2,Comprehensive,NA,Pune,Silver,Excellent,Individual,11.15,9.05
CAR10178,Skoda,Rapid,2020,80697,Electric,Manual,NA,Second,0,Expired,Complete,Delhi,Grey,Good,Dealer,9.71,4.51
CAR10179,Volkswagen,Taigun,2024,68228,Electric,Manual,1597,Fourth,0,Comprehensive,Partial,Hyderabad,NA,Fair,Individual,10.71,6.14
CAR10180,Kia,Seltos,2013,31134,Diesel,Manual,1995,Second,0,Comprehensive,NA,Pune,Brown,Good,Individual,10.79,2.71
CAR10181,Nissan,Magnite,2024,78665,Electric,Manual,1497,First,0,Third Party,Partial,Hyderabad,NA,Excellent,Individual,8.78,7.36
CAR10182,Ford,Aspire,2022,69517,Petrol,Automatic,2755,First,NA,Expired,Complete,Jaipur,White,Good,Individual,9.22,6.23
CAR10183,Kia,Carens,2019,30522,Petrol,Automatic,1197,Second,0,Third Party,Complete,Nashik,Brown,Good,Individual,11.27,5.21
CAR10184,Maruti, Baleno ,2013,35728,Petrol,DCT,799,First,1,Comprehensive,Partial,Bengaluru,NA,Fair,Dealer,10.01,2.18
CAR10185,Maruti,Dzire,2012,80318,Petrol,Manual,1199,Second,0,Comprehensive,Partial,Pune,Grey,Poor,Individual,9.05,1.32
CAR10186,Ford,Aspire,2021,48344,Electric,DCT,1197,First,0,Comprehensive,Missing,Chennai,Red,Fair,Individual,NA,5.0
CAR10187,Skoda,Rapid,2014,131810,Petrol,NA,998,First,NA,Comprehensive,Complete,Hyderabad,Brown,NA,Individual,10.6,2.14
CAR10188,Ford,Figo,2020,72454,CNG,Automatic,1498,First,0,Third Party,Complete,Ahmedabad,Red,Good,Individual,5.11,2.59
